country,EPI.new,EPI.old,EPI.change,EPI.rnk.new,EPI.rnk.old,%_Afectado
EGY,35.5,29.0,6.5,127,153,0.0122134765201198
CMR,30.2,32.2,-2.0,153,136,0.0723722046654969
NGA,28.3,34.4,-6.1,162,121,0.0550332644274809
ZAF,37.2,27.1,10.1,116,164,1.8056505619928
ETH,31.8,28.2,3.6,143,158,3.26301816870463
ARG,41.1,33.3,7.8,92,129,0.167189950512828
BRA,43.6,38.2,5.4,81,92,0.482451027992547
COL,42.4,42.9,-0.5,87,71,0.657133753962299
CAN,50.0,46.0,4.0,49,52,0.0107432376669766
CHL,46.7,39.9,6.8,65,83,0.260470805127432
MEX,45.5,33.1,12.4,73,131,0.149843277332355
ECU,46.5,37.3,9.2,66,93,0.336468818221031
URY,37.4,34.1,3.3,113,123,0.264742966821956
PAN,50.5,40.6,9.9,47,79,0.196361451621855
VEN,46.4,46.2,0.2,67,50,0.155204204310207
CHN,28.4,17.0,11.4,160,180,7.95097147464036
JPN,57.2,54.0,3.2,25,18,0.0209515501455421
KOR,46.9,45.1,1.8,63,58,0.0802554113253908
MYS,35.0,24.7,10.3,130,170,0.0969269043603107
IND,18.9,19.5,-0.6,180,179,4.3561089920649
AFG,43.6,19.7,23.9,81,178,1.05929016894999
DEU,62.4,60.2,2.2,13,2,0.0328245736854824
BEL,58.2,52.1,6.1,21,24,0.00169216806014966
ESP,56.6,49.3,7.3,27,37,0.729193518337962
FRA,62.5,56.1,6.4,12,12,0.00571764592926749
NLD,62.6,56.7,5.9,11,11,0.0047386325897521
ITA,57.7,51.7,6.0,23,29,0.00710221906895916
CHE,65.9,57.7,8.2,9,7,0.00388788412428912
UKR,49.6,43.4,6.2,52,67,0.269239353924442
RUS,37.5,35.9,1.6,112,108,0.13270049736118
USA,51.1,47.8,3.3,43,40,0.214155722534503
AGO,30.5,30.3,0.2,151,147,1.01176467635625
GBR,77.7,54.7,23,2,16,0.0324070189450731
