country,year,deuda_externa_porcentaje_gdp
AFG,2002,3.46
AFG,2003,2.71
AFG,2004,2.45
AFG,2005,2.06
AFG,2006,0.23
AFG,2007,0.20
AFG,2008,0.19
AFG,2009,0.16
AFG,2010,0.08
AFG,2011,0.07
AFG,2012,0.07
AFG,2013,0.07
AFG,2014,0.06
AFG,2015,0.07
AFG,2016,0.07
AFG,2017,0.07
AFG,2018,0.07
AFG,2019,0.06
AFG,2020,0.07
ARG,2006,0.59
ARG,2007,0.53
ARG,2008,0.43
ARG,2009,0.45
ARG,2010,0.34
ARG,2011,0.29
ARG,2012,0.29
ARG,2013,0.28
ARG,2014,0.30
ARG,2015,0.28
ARG,2016,0.33
ARG,2017,0.36
ARG,2018,0.53
ARG,2019,0.62
ARG,2020,0.70
BEL,2010,2.87
BEL,2011,2.94
BEL,2012,2.81
BEL,2013,2.48
BEL,2014,2.57
BEL,2015,2.56
BEL,2016,2.77
BEL,2017,2.58
BEL,2018,2.47
BEL,2019,2.53
BEL,2020,2.61
BRA,2010,0.16
BRA,2011,0.16
BRA,2012,0.18
BRA,2013,0.20
BRA,2014,0.23
BRA,2015,0.30
BRA,2016,0.30
BRA,2017,0.26
BRA,2018,0.29
BRA,2019,0.31
BRA,2020,0.38
CAN,2010,0.74
CAN,2011,0.76
CAN,2012,0.84
CAN,2013,0.86
CAN,2014,0.94
CAN,2015,1.12
CAN,2016,1.16
CAN,2017,1.15
CAN,2018,1.20
CAN,2019,1.25
CAN,2020,1.43
CHE,2010,2.07
CHE,2011,2.12
CHE,2012,2.28
CHE,2013,2.25
CHE,2014,2.48
CHE,2015,2.55
CHE,2016,2.67
CHE,2017,2.80
CHE,2018,2.55
CHE,2019,2.66
CHE,2020,2.80
CHL,2010,0.39
CHL,2011,0.40
CHL,2012,0.46
CHL,2013,0.50
CHL,2014,0.59
CHL,2015,0.66
CHL,2016,0.66
CHL,2017,0.65
CHL,2018,0.62
CHL,2019,0.71
CHL,2020,0.83
CHN,2010,0.09
CHN,2011,0.09
CHN,2012,0.09
CHN,2013,0.09
CHN,2014,0.17
CHN,2015,0.13
CHN,2016,0.13
CHN,2017,0.14
CHN,2018,0.14
CHN,2019,0.15
CHN,2020,0.16
CMR,2010,0.08
CMR,2011,0.08
CMR,2012,0.10
CMR,2013,0.12
CMR,2014,0.13
CMR,2015,0.21
CMR,2016,0.20
CMR,2017,0.25
CMR,2018,0.27
CMR,2019,0.29
CMR,2020,0.32
COL,2010,0.23
COL,2011,0.23
COL,2012,0.21
COL,2013,0.24
COL,2014,0.28
COL,2015,0.38
COL,2016,0.42
COL,2017,0.40
COL,2018,0.40
COL,2019,0.43
COL,2020,0.57
DEU,2010,1.62
DEU,2011,1.63
DEU,2012,1.66
DEU,2013,1.51
DEU,2014,1.54
DEU,2015,1.51
DEU,2016,1.52
DEU,2017,1.46
DEU,2018,1.45
DEU,2019,1.45
DEU,2020,1.65
ECU,2010,0.20
ECU,2011,0.19
ECU,2012,0.18
ECU,2013,0.20
ECU,2014,0.24
ECU,2015,0.28
ECU,2016,0.34
ECU,2017,0.38
ECU,2018,0.41
ECU,2019,0.49
ECU,2020,0.57
EGY,2010,0.36
EGY,2011,0.30
EGY,2012,0.31
EGY,2013,0.31
EGY,2014,0.34
EGY,2015,0.31
EGY,2016,0.32
EGY,2017,0.34
EGY,2018,0.34
EGY,2019,0.33
EGY,2020,0.33
ESP,2010,1.62
ESP,2011,1.65
ESP,2012,1.61
ESP,2013,1.61
ESP,2014,1.69
ESP,2015,1.69
ESP,2016,1.69
ESP,2017,1.68
ESP,2018,1.68
ESP,2019,1.70
ESP,2020,1.99
ETH,2010,0.20
ETH,2011,0.23
ETH,2012,0.19
ETH,2013,0.21
ETH,2014,0.23
ETH,2015,0.26
ETH,2016,0.28
ETH,2017,0.29
ETH,2018,0.31
ETH,2019,0.28
ETH,2020,0.29
FRA,2010,2.06
FRA,2011,2.01
FRA,2012,2.00
FRA,2013,1.94
FRA,2014,2.09
FRA,2015,2.09
FRA,2016,2.12
FRA,2017,2.10
FRA,2018,2.22
FRA,2019,2.34
FRA,2020,2.61
GBR,2010,3.68
GBR,2011,3.70
GBR,2012,3.53
GBR,2013,3.12
GBR,2014,3.06
GBR,2015,2.87
GBR,2016,3.06
GBR,2017,3.09
GBR,2018,3.05
GBR,2019,2.98
GBR,2020,3.39
IND,2010,0.19
IND,2011,0.21
IND,2012,0.22
IND,2013,0.24
IND,2014,0.24
IND,2015,0.23
IND,2016,0.20
IND,2017,0.20
IND,2018,0.20
IND,2019,0.21
IND,2020,0.21
ITA,2010,1.15
ITA,2011,1.12
ITA,2012,1.19
ITA,2013,1.19
ITA,2014,1.24
ITA,2015,1.26
ITA,2016,1.23
ITA,2017,1.22
ITA,2018,1.21
ITA,2019,1.25
ITA,2020,1.40
JPN,2010,0.42
JPN,2011,0.49
JPN,2012,0.53
JPN,2013,0.59
JPN,2014,0.63
JPN,2015,0.66
JPN,2016,0.73
JPN,2017,0.73
JPN,2018,0.80
JPN,2019,0.83
JPN,2020,0.93
KOR,2010,0.31
KOR,2011,0.32
KOR,2012,0.32
KOR,2013,0.31
KOR,2014,0.29
KOR,2015,0.27
KOR,2016,0.25
KOR,2017,0.25
KOR,2018,0.26
KOR,2019,0.29
KOR,2020,0.33
MEX,2010,0.23
MEX,2011,0.24
MEX,2012,0.27
MEX,2013,0.31
MEX,2014,0.32
MEX,2015,0.36
MEX,2016,0.38
MEX,2017,0.38
MEX,2018,0.37
MEX,2019,0.37
MEX,2020,0.42
MYS,2010,0.53
MYS,2011,0.59
MYS,2012,0.62
MYS,2013,0.68
MYS,2014,0.68
MYS,2015,0.71
MYS,2016,0.73
MYS,2017,0.65
MYS,2018,0.64
MYS,2019,0.63
MYS,2020,0.68
NGA,2010,0.01
NGA,2011,0.01
NGA,2012,0.01
NGA,2013,0.02
NGA,2014,0.02
NGA,2015,0.02
NGA,2016,0.03
NGA,2017,0.05
NGA,2018,0.06
NGA,2019,0.06
NGA,2020,0.08
NLD,2010,4.94
NLD,2011,5.08
NLD,2012,5.14
NLD,2013,5.08
NLD,2014,5.60
NLD,2015,5.63
NLD,2016,5.54
NLD,2017,5.16
NLD,2018,4.89
NLD,2019,4.57
NLD,2020,4.44
PAN,2010,1.72
PAN,2011,1.66
PAN,2012,1.54
PAN,2013,1.39
PAN,2014,1.38
PAN,2015,1.43
PAN,2016,1.55
PAN,2017,1.50
PAN,2018,1.52
PAN,2019,1.54
PAN,2020,1.97
RUS,2010,0.32
RUS,2011,0.26
RUS,2012,0.29
RUS,2013,0.32
RUS,2014,0.29
RUS,2015,0.38
RUS,2016,0.40
RUS,2017,0.33
RUS,2018,0.27
RUS,2019,0.29
RUS,2020,0.31
UKR,2010,0.92
UKR,2011,0.94
UKR,2012,0.98
UKR,2013,1.08
UKR,2014,1.19
UKR,2015,1.30
UKR,2016,1.28
UKR,2017,1.21
UKR,2018,1.24
UKR,2019,1.25
UKR,2020,1.32
URY,2010,0.46
URY,2011,0.38
URY,2012,0.72
URY,2013,0.67
URY,2014,0.72
URY,2015,0.82
URY,2016,0.70
URY,2017,0.66
URY,2018,0.66
URY,2019,0.73
URY,2020,0.87
USA,2010,0.96
USA,2011,0.99
USA,2012,0.96
USA,2013,0.98
USA,2014,0.98
USA,2015,0.97
USA,2016,0.96
USA,2017,0.98
USA,2018,0.96
USA,2019,0.96
USA,2020,1.02
VEN,2006,0.09
VEN,2007,0.10
VEN,2008,0.09
VEN,2009,0.13
VEN,2010,0.16
VEN,2011,0.18
VEN,2012,0.21
VEN,2013,0.20
VEN,2014,0.20
VEN,2015,0.22
VEN,2016,0.27
VEN,2017,0.29
ZAF,2010,0.27
ZAF,2011,0.26
ZAF,2012,0.33
ZAF,2013,0.34
ZAF,2014,0.38
ZAF,2015,0.36
ZAF,2016,0.44
ZAF,2017,0.45
ZAF,2018,0.43
ZAF,2019,0.48
ZAF,2020,0.51
