Pais;Codigo;Estimate;StdErr;NumSrc;Rank;Lower;Upper
Afghanistan; AFG;-1.29;0.34;2.0;4.3;0;27.42
Afghanistan; AFG;-1.18;0.32;2.0;8.02;0;33.69
Afghanistan; AFG;-1.27;0.35;2.0;4.79;0;30.85
Afghanistan; AFG;-1.25;0.35;2.0;4.76;0;32.8
Afghanistan; AFG;-1.34;0.27;3.0;4.76;0;19.05
Afghanistan; AFG;-1.35;0.21;5.0;6.4;0;15.27
Afghanistan; AFG;-1.45;0.21;5.0;1.46;0;13.17
Afghanistan; AFG;-1.45;0.21;7.0;1.95;0;11.71
Afghanistan; AFG;-1.61;0.23;6.0;0.97;0;6.8
Afghanistan; AFG;-1.67;0.22;7.0;0.49;0;4.37
Afghanistan; AFG;-1.55;0.2;8.0;0.96;0;7.18
Afghanistan; AFG;-1.65;0.2;9.0;0.95;0;3.81
Afghanistan; AFG;-1.6;0.2;9.0;0.47;0;4.27
Afghanistan; AFG;-1.43;0.19;10.0;1.42;0;11.85
Afghanistan; AFG;-1.45;0.16;11.0;0.95;0;9.95
Afghanistan; AFG;-1.36;0.16;11.0;5.29;0;12.5
Afghanistan; AFG;-1.35;0.16;11.0;5.77;0.48;12.02
Afghanistan; AFG;-1.53;0.16;10.0;3.85;0;9.62
Afghanistan; AFG;-1.52;0.16;10.0;3.85;0;9.62
Afghanistan; AFG;-1.49;0.16;10.0;4.81;0;9.62
Afghanistan; AFG;-1.41;0.16;10.0;6.25;1.44;11.06
Afghanistan; AFG;-1.48;0.16;9.0;4.81;0;10.58
Afghanistan;AFG;-1.14;0.18;8.0;12.5;4.81;21.15
Argentina;ARG;-0.1;0.21;6.0;53.76;38.71;62.9
Argentina;ARG;-0.2;0.19;6.0;50.27;36.9;58.29
Argentina;ARG;-0.17;0.2;6.0;52.13;38.83;60.64
Argentina;ARG;-0.42;0.18;7.0;41.8;31.75;51.85
Argentina;ARG;-0.48;0.17;8.0;40.21;25.93;50.79
Argentina;ARG;-0.41;0.16;10.0;39.9;29.56;50.74
Argentina;ARG;-0.38;0.16;10.0;43.41;31.22;53.17
Argentina;ARG;-0.33;0.15;13.0;43.41;34.63;55.12
Argentina;ARG;-0.37;0.15;13.0;44.17;31.55;53.4
Argentina;ARG;-0.43;0.15;13.0;39.81;28.64;52.91
Argentina;ARG;-0.45;0.15;15.0;40.19;26.79;52.15
Argentina;ARG;-0.36;0.16;15.0;44.76;31.9;54.29
Argentina;ARG;-0.36;0.15;16.0;43.6;33.18;54.5
Argentina;ARG;-0.45;0.14;16.0;40.28;28.91;51.66
Argentina;ARG;-0.43;0.14;15.0;40.76;28.91;52.13
Argentina;ARG;-0.55;0.13;14.0;35.58;24.52;46.15
Argentina;ARG;-0.56;0.14;14.0;34.13;23.56;46.15
Argentina;ARG;-0.27;0.14;14.0;47.12;35.58;56.25
